name,birthday,deathday,wp_views,sp_followers,sp_popularity,genres,wp_url,wd_url,sp_url,birthdate,deathdate,birthyear,deathyear,sp_id,sp_img_url
Ziad Rahbani,January 01,,156884,68064,39,"['arab folk', 'arab groove', 'arab pop', 'arabic jazz', 'classic arab pop', 'lebanese pop']",http://en.wikipedia.org/wiki/Ziad_Rahbani,https://www.wikidata.org/wiki/Q3575465,https://open.spotify.com/artist/56F07EgoDt7uxzQUb6HZnT,"Jan 01, 1956",,1956,,56F07EgoDt7uxzQUb6HZnT,https://i.scdn.co/image/ab67616d0000b27345adb68342be34d158f580b1
Milt Jackson,January 01,October 09,201373,25112,44,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz vibraphone', 'soul jazz', 'stride']",http://en.wikipedia.org/wiki/Milt_Jackson,https://www.wikidata.org/wiki/Q435665,https://open.spotify.com/artist/23i8EixXKG0EWGRCfHlUGN,"Jan 01, 1923","Oct 09, 1999",1923,1999,23i8EixXKG0EWGRCfHlUGN,https://i.scdn.co/image/00b587aabc5e4623c1725005a03cdd74ab4d4fca
Viktor Ullmann,January 01,October 18,63980,492,17,"['austro-german modernism', 'early modern classical']",http://en.wikipedia.org/wiki/Viktor_Ullmann,https://www.wikidata.org/wiki/Q78530,https://open.spotify.com/artist/3PxWnMx3pywbU7inKSlsAR,"Jan 01, 1898","Oct 18, 1944",1898,1944,3PxWnMx3pywbU7inKSlsAR,https://i.scdn.co/image/3dec73d05c9293b29b238a733f534493152ec875
Joseph Koo,January 01,,59861,353,14,[],http://en.wikipedia.org/wiki/Joseph_Koo,https://www.wikidata.org/wiki/Q698537,https://open.spotify.com/artist/7gvrh9f34bhG3JNWzqi8mo,"Jan 01, 1933",,1933,,7gvrh9f34bhG3JNWzqi8mo,https://i.scdn.co/image/ab67616d0000b273ca8a82957b1000b8d448ae9d
Tarik O’Regan,January 01,,32381,408,16,"['21st century classical', 'british contemporary classical']",http://en.wikipedia.org/wiki/Tarik_O'Regan,https://www.wikidata.org/wiki/Q7686067,https://open.spotify.com/artist/7onmwcQjAZTTkrrmxUzJ7u,"Jan 01, 1978",,1978,,7onmwcQjAZTTkrrmxUzJ7u,https://i.scdn.co/image/3147a17321de5a39cba17824b8f4e6cb5e6a3bf6
Christoph Bernhard,January 01,November 14,15630,127,16,"['baroque', 'german baroque']",http://en.wikipedia.org/wiki/Christoph_Bernhard,https://www.wikidata.org/wiki/Q524156,https://open.spotify.com/artist/33pt9ATxB4ZC6JFku4CWkv,"Jan 01, 1628","Nov 14, 1692",1628,1692,33pt9ATxB4ZC6JFku4CWkv,https://i.scdn.co/image/ab67616d0000b27333037ad4613b741be1a04453
Johann Christoph Altnickol,January 01,July 25,20708,91,5,"['galante era', 'german baroque']",http://en.wikipedia.org/wiki/Johann_Christoph_Altnickol,https://www.wikidata.org/wiki/Q67366,https://open.spotify.com/artist/09VnZqL6zORVfu5sWpfh1o,"Jan 01, 1719","Jul 25, 1759",1720,1759,09VnZqL6zORVfu5sWpfh1o,https://i.scdn.co/image/ab67616d0000b273c578899d57a313ea06d8f37b
Antonio Estévez,January 01,November 26,11336,118,7,['latin classical'],http://en.wikipedia.org/wiki/Antonio_Est%C3%A9vez,https://www.wikidata.org/wiki/Q601909,https://open.spotify.com/artist/2WItKc8adQBeagkIY0R8Fp,"Jan 03, 1916","Nov 26, 1988",1916,1988,2WItKc8adQBeagkIY0R8Fp,https://i.scdn.co/image/ab67616d0000b2734d51e59c78bbd727646ceed1
Edwin Franko Goldman,January 01,February 21,23353,33,9,['concert band'],http://en.wikipedia.org/wiki/Edwin_Franko_Goldman,https://www.wikidata.org/wiki/Q322210,https://open.spotify.com/artist/5yi8vV68M1CVepwVsFxIXF,"Jan 01, 1878","Feb 21, 1956",1878,1956,5yi8vV68M1CVepwVsFxIXF,
Bo Linde,January 01,October 02,11219,85,4,['swedish classical'],http://en.wikipedia.org/wiki/Bo_Linde,https://www.wikidata.org/wiki/Q2780845,https://open.spotify.com/artist/5vp0kmBMhnq1wmVoXUfFaF,"Jan 01, 1933","Oct 02, 1970",1933,1970,5vp0kmBMhnq1wmVoXUfFaF,https://i.scdn.co/image/cf29b6134a32353c8bd7eea31af3975c6f0e08c2
Johann Pfeiffer,January 01,October 17,4331,40,15,[],http://de.wikipedia.org/wiki/Johann_Pfeiffer_%28Komponist%29,https://www.wikidata.org/wiki/Q216604,https://open.spotify.com/artist/7KrQ6xbpHTFBLR47yst7U9,"Jan 01, 1697","Oct 17, 1761",1697,1761,7KrQ6xbpHTFBLR47yst7U9,https://i.scdn.co/image/ab67616d0000b2738559043d81e454f6ff073099
László Sáry,January 01,,6101,84,1,"['hungarian contemporary classical', 'minimalism']",http://en.wikipedia.org/wiki/L%C3%A1szl%C3%B3_S%C3%A1ry,https://www.wikidata.org/wiki/Q897037,https://open.spotify.com/artist/2aJ1gtjIgoynCMc0iaDb9O,"Jan 01, 1940",,1940,,2aJ1gtjIgoynCMc0iaDb9O,https://i.scdn.co/image/ab67616d0000b27331c5e8beac71b0e3b0a866ee
Werner Heider,January 01,,13054,23,1,[],https://de.wikipedia.org/wiki/Werner_Heider,https://www.wikidata.org/wiki/Q895578,https://open.spotify.com/artist/5NVBOrMaRhBvmr45u5UInV,"Jan 01, 1930",,1930,,5NVBOrMaRhBvmr45u5UInV,https://i.scdn.co/image/ab67616d0000b273d63fa45bcfabbe7f91092291
Thomas Haweis,January 01,February 11,9670,2,5,[],http://en.wikipedia.org/wiki/Thomas_Haweis,https://www.wikidata.org/wiki/Q7790496,https://open.spotify.com/artist/5ldHFxyLx84p7iNbGN9aif,"Jan 01, 1734","Feb 11, 1820",1734,1820,5ldHFxyLx84p7iNbGN9aif,
Erich Schmid,January 01,December 17,6046,4,3,[],https://en.wikipedia.org/wiki/Erich_Schmid,https://www.wikidata.org/wiki/Q690827,https://open.spotify.com/artist/5Vvk4WmkiylQZUTOCCitL8,"Jan 01, 1907","Dec 17, 2000",1907,2000,5Vvk4WmkiylQZUTOCCitL8,https://i.scdn.co/image/ab67616d0000b2732e7c7063b5c9c8f01d71a1e4
